state,year,abortionratetotal,unemployment_rate,gdp,policy_score,sex_and_age_18_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_male,sex_and_age_female,educational_attainment_high_school_graduate_or_higher,educational_attainment_bachelors_degree_or_higher,income_in_the_past_12_months_in_2010_inflation_adjusted_dollars_median_household_income_dollars,total_number_of_races_reported_one_race,total_number_of_races_reported_two_races,total_number_of_races_reported_three_races
PA,2010,17.3,8.2,604629.6,-3.0,10.0,11.9,12.7,15.2,48.7,51.3,88.4,27.1,49288.0,98.1,1.8,0.1
PA,2011,16.1,7.7,623767.9,-3.0,9.9,12.1,12.4,15.1,48.8,51.2,88.6,27.0,,98.1,1.8,0.1
PA,2012,15.1,7.6,646434.3,-3.0,9.9,12.3,12.2,14.7,48.8,51.2,88.9,27.8,,97.9,1.9,0.1
PA,2013,14.3,7.1,670767.4,-3.0,9.8,12.5,12.0,14.4,,,89.2,28.7,,,,
PA,2014,14.2,6.0,695546.6,-3.0,9.6,12.8,11.9,14.1,,,89.4,29.0,,,,
PA,2015,14.4,5.4,716534.3,-3.0,9.5,12.9,11.7,13.9,,,89.7,29.7,,,,
PA,2016,14.6,5.3,733165.9,-3.0,9.3,13.1,11.6,13.6,,,90.1,30.8,,,,
PA,2017,14.2,5.0,754318.0,-3.0,9.2,13.1,11.6,13.3,,,90.6,31.4,,,,
PA,2018,13.9,4.4,780620.7,-3.0,,,,,,,,,,,,
PA,2019,13.7,4.3,802233.1,-3.0,,,,,,,,,,,,
RI,2010,18.0,11.6,49409.1,-3.0,11.3,12.0,13.1,15.3,48.3,51.7,83.5,30.2,52254.0,97.3,2.5,0.3
RI,2011,17.3,11.1,50123.7,-3.0,11.4,12.3,12.8,15.1,48.4,51.6,84.8,31.1,,97.3,2.5,0.3
RI,2012,16.1,10.3,51527.5,-3.0,11.5,12.3,12.4,15.0,48.3,51.7,86.1,31.4,,97.2,2.5,0.3
RI,2013,14.8,9.5,52994.2,-3.0,11.3,12.8,12.1,14.7,,,85.9,32.4,,,,
RI,2014,15.3,7.8,54612.5,-3.0,11.1,13.1,12.0,14.5,,,85.8,30.4,,,,
RI,2015,15.7,6.0,56604.0,-3.0,10.8,13.5,11.7,14.1,,,87.7,32.7,,,,
RI,2016,16.0,5.2,57714.6,-3.0,10.8,13.5,11.6,13.9,,,88.5,34.1,,,,
RI,2017,15.8,4.5,58771.6,-3.0,10.9,13.8,11.6,13.5,,,88.3,33.5,,,,
RI,2018,15.3,4.0,60064.9,-3.0,,,,,,,,,,,,
RI,2019,14.5,3.5,62814.7,-3.0,,,,,,,,,,,,
SC,2010,13.9,11.1,166767.4,-4.0,10.4,12.7,13.0,14.2,48.6,51.4,84.1,24.5,42018.0,98.2,1.7,0.1
SC,2011,12.5,10.3,172844.7,-4.0,10.4,12.6,12.9,13.9,48.6,51.4,84.2,24.1,,98.2,1.7,0.1
SC,2012,12.3,9.0,178503.9,-4.0,10.4,12.7,12.7,13.7,48.6,51.4,84.9,25.1,,98.0,1.9,0.1
SC,2013,12.1,7.4,186268.3,-4.0,10.4,12.7,12.5,13.6,,,85.6,26.1,,,,
SC,2014,11.6,6.3,195744.4,-4.0,10.1,12.8,12.5,13.4,,,86.1,26.3,,,,
SC,2015,11.5,5.9,207510.0,-4.0,9.9,12.9,12.3,13.3,,,86.3,26.8,,,,
SC,2016,11.4,4.9,217555.5,-4.0,9.5,13.0,12.3,13.0,,,86.6,27.2,,,,
SC,2017,11.8,4.2,224937.6,-4.0,9.5,12.9,12.3,12.8,,,87.4,28.0,,,,
SC,2018,11.7,3.4,236561.7,-4.0,,,,,,,,,,,,
SC,2019,11.5,2.8,249575.7,-4.0,,,,,,,,,,,,
SD,2010,5.5,4.9,38208.2,-3.0,10.0,12.7,11.7,14.4,50.4,49.6,89.6,26.3,45904.0,98.0,1.8,0.1
SD,2011,5.5,4.6,42082.7,-3.0,10.3,12.7,11.7,14.0,49.8,50.2,90.6,26.3,,97.6,2.3,0.1
SD,2012,5.4,4.0,44127.3,-3.0,10.2,13.3,11.3,13.3,50.1,49.9,90.5,26.3,,97.9,2.0,0.1
SD,2013,5.3,3.7,45498.6,-3.0,10.1,13.1,11.5,12.9,,,91.6,26.6,,,,
SD,2014,5.1,3.4,47159.9,-3.0,10.2,13.1,11.4,12.5,,,91.7,27.8,,,,
SD,2015,4.9,3.0,48678.9,-3.0,10.0,13.0,11.5,12.2,,,91.1,27.5,,,,
SD,2016,4.6,3.0,49842.6,-3.0,9.9,12.9,11.4,11.8,,,91.2,28.9,,,,
SD,2017,4.7,3.0,51615.1,-3.0,9.4,13.3,11.5,11.4,,,91.7,28.1,,,,
SD,2018,4.6,2.8,53349.5,-3.0,,,,,,,,,,,,
SD,2019,4.6,2.7,55175.8,-3.0,,,,,,,,,,,,
TN,2010,11.3,9.8,258657.6,-2.0,9.7,12.8,13.5,14.4,48.7,51.3,83.6,23.1,41461.0,98.3,1.6,0.1
TN,2011,10.7,9.0,270055.0,-2.0,9.7,13.0,13.1,14.4,48.7,51.3,84.2,23.6,,98.1,1.8,0.1
TN,2012,10.3,7.9,285897.5,-2.0,9.7,13.1,13.1,14.0,48.7,51.3,85.1,24.3,,98.2,1.7,0.1
TN,2013,9.9,7.7,296756.3,-2.0,9.8,13.0,13.0,13.8,,,85.6,24.8,,,,
TN,2014,9.5,6.5,307448.5,-2.0,9.6,13.0,12.9,13.6,,,85.8,25.3,,,,
TN,2015,9.1,5.5,326382.5,-2.0,9.6,13.1,12.7,13.5,,,86.1,25.7,,,,
TN,2016,8.6,4.7,339350.2,-2.0,9.3,13.3,12.6,13.4,,,87.0,26.1,,,,
TN,2017,8.5,3.7,355417.5,-2.0,9.2,13.5,12.5,13.3,,,87.8,27.3,,,,
TN,2018,8.3,3.5,369713.2,-2.0,,,,,,,,,,,,
TN,2019,8.1,3.3,385833.0,-2.0,,,,,,,,,,,,
TX,2010,14.6,8.3,1255660.8,-3.0,10.3,14.3,13.8,13.6,49.6,50.4,80.7,25.9,48615.0,97.8,2.0,0.1
TX,2011,13.3,8.0,1351776.9,-3.0,10.3,14.3,13.7,13.4,49.6,50.4,81.1,26.4,,97.7,2.2,0.1
TX,2012,12.6,6.7,1429588.0,-3.0,10.3,14.4,13.7,13.2,49.7,50.3,81.4,26.7,,97.6,2.2,0.1
TX,2013,12.0,6.3,1526781.9,-3.0,10.3,14.4,13.6,13.0,,,81.9,27.5,,,,
TX,2014,10.0,5.2,1592177.6,-3.0,10.2,14.5,13.6,12.8,,,82.2,27.8,,,,
TX,2015,9.7,4.5,1585985.9,-3.0,10.1,14.5,13.6,12.7,,,82.4,28.4,,,,
TX,2016,9.4,4.6,1582981.5,-3.0,10.0,14.6,13.5,12.6,,,82.9,28.9,,,,
TX,2017,9.5,4.4,1667313.0,-3.0,9.9,14.6,13.5,12.5,,,83.6,29.6,,,,
TX,2018,9.8,3.9,1808026.9,-3.0,,,,,,,,,,,,
TX,2019,10.0,3.5,1864872.3,-3.0,,,,,,,,,,,,
US,2010,17.7,,,,,,,,,,,,,,,
US,2011,16.9,,,,,,,,,,,,,,,
US,2012,16.1,,,,,,,,,,,,,,,
US,2013,15.2,,,,,,,,,,,,,,,
US,2014,14.6,,,,,,,,,,,,,,,
US,2015,14.2,,,,,,,,,,,,,,,
US,2016,13.7,,,,,,,,,,,,,,,
US,2017,13.5,,,,,,,,,,,,,,,
US,2018,13.8,,,,,,,,,,,,,,,
US,2019,14.2,,,,,,,,,,,,,,,
UT,2010,5.7,8.3,118296.3,-5.0,11.5,16.2,12.0,11.2,50.3,49.7,90.6,29.3,54744.0,97.6,2.2,0.1
UT,2011,5.3,7.2,125137.8,-5.0,11.6,15.7,12.3,10.8,50.3,49.7,90.3,29.7,,97.5,2.3,0.2
UT,2012,5.2,4.8,129431.4,-5.0,11.4,15.6,12.5,10.8,50.3,49.7,91.0,30.7,,97.6,2.2,0.2
UT,2013,5.0,4.2,135344.3,-5.0,11.5,15.2,12.9,10.5,,,91.5,31.3,,,,
UT,2014,4.6,3.6,142627.7,-5.0,11.3,14.8,13.2,10.5,,,91.4,31.1,,,,
UT,2015,4.6,3.5,149762.1,-5.0,11.4,14.7,13.4,10.3,,,91.5,31.8,,,,
UT,2016,4.6,3.3,159330.6,-5.0,11.3,14.7,13.4,10.3,,,91.7,32.6,,,,
UT,2017,4.5,3.1,172075.0,-5.0,11.3,14.6,13.7,10.2,,,92.1,34.6,,,,
UT,2018,4.4,2.9,186805.7,-5.0,,,,,,,,,,,,
UT,2019,4.4,2.5,201312.2,-5.0,,,,,,,,,,,,
VT,2010,13.6,6.2,27478.3,2.0,10.4,11.1,12.4,16.2,49.2,50.8,91.0,33.6,49406.0,98.4,1.6,0.1
VT,2011,13.7,5.4,28558.5,2.0,10.5,11.2,12.4,15.9,49.2,50.8,91.8,35.4,,97.8,2.1,0.1
VT,2012,13.4,4.8,29325.6,2.0,10.7,11.2,11.7,15.6,49.4,50.6,91.7,35.8,,98.0,1.9,0.2
VT,2013,12.8,4.4,29477.6,2.0,10.6,11.2,11.6,15.2,,,91.5,35.7,,,,
VT,2014,11.9,3.9,30359.4,2.0,10.6,11.6,11.5,14.4,,,92.0,34.9,,,,
VT,2015,11.5,3.5,31152.4,2.0,10.7,11.3,11.2,14.4,,,91.7,36.9,,,,
VT,2016,11.0,3.1,31840.2,2.0,10.6,11.5,11.3,13.9,,,92.1,36.4,,,,
VT,2017,9.9,2.9,32589.2,2.0,10.7,11.8,11.1,13.3,,,92.6,38.3,,,,
VT,2018,9.4,2.5,33482.6,2.0,,,,,,,,,,,,
VT,2019,9.1,2.1,34760.3,2.0,,,,,,,,,,,,
VA,2010,18.5,6.8,425490.8,-3.0,10.1,13.5,14.0,15.1,49.1,50.9,86.5,34.2,60674.0,97.3,2.5,0.2
VA,2011,17.6,6.3,433683.7,-3.0,10.2,13.6,13.7,14.9,49.1,50.9,87.8,35.1,,97.0,2.7,0.3
VA,2012,17.7,5.8,445008.5,-3.0,10.1,13.9,13.5,14.6,49.0,51.0,87.9,35.5,,96.8,2.9,0.3
VA,2013,17.8,5.5,456911.6,-3.0,10.1,14.0,13.3,14.3,,,88.4,36.1,,,,
VA,2014,14.6,5.1,465601.7,-3.0,10.0,14.0,13.2,14.1,,,88.5,36.7,,,,
VA,2015,13.9,4.4,485540.9,-3.0,9.9,14.0,13.1,14.0,,,88.9,37.0,,,,
VA,2016,13.1,4.0,499032.4,-3.0,9.8,13.7,13.0,13.8,,,89.3,38.1,,,,
VA,2017,12.1,3.6,515167.2,-3.0,9.7,13.8,13.1,13.5,,,89.7,38.7,,,,
VA,2018,12.4,3.0,537158.3,-3.0,,,,,,,,,,,,
VA,2019,12.9,2.8,561701.8,-3.0,,,,,,,,,,,,
WA,2010,16.5,10.0,363544.2,3.0,9.7,13.9,13.5,14.6,49.8,50.2,89.8,31.1,55631.0,95.5,4.1,0.4
WA,2011,15.9,9.4,377518.8,3.0,9.8,14.1,13.4,14.3,49.9,50.1,90.1,31.9,,95.3,4.2,0.4
WA,2012,14.8,8.5,398358.5,3.0,9.7,14.1,13.3,14.0,49.9,50.1,90.4,31.7,,95.0,4.5,0.4
WA,2013,13.8,6.7,416924.1,3.0,9.6,14.2,13.2,13.6,,,90.1,32.7,,,,
WA,2014,13.7,5.9,439851.2,3.0,9.6,14.3,13.1,13.4,,,90.4,33.1,,,,
WA,2015,12.9,5.5,467590.6,3.0,9.3,14.6,12.9,13.2,,,90.8,34.2,,,,
WA,2016,12.1,5.2,489790.2,3.0,9.1,14.7,13.0,13.1,,,90.8,35.1,,,,
WA,2017,12.1,4.7,527169.4,3.0,8.9,14.9,13.2,12.8,,,91.3,35.5,,,,
WA,2018,12.1,4.4,570337.8,3.0,,,,,,,,,,,,
WA,2019,12.2,4.2,608643.4,3.0,,,,,,,,,,,,
WV,2010,10.1,8.4,66160.4,0.0,9.3,11.8,12.9,14.7,49.3,50.7,83.2,17.5,38218.0,98.0,1.8,0.1
WV,2011,9.7,7.7,69367.6,0.0,9.4,11.7,12.6,14.5,49.3,50.7,84.2,18.5,,97.9,2.0,0.1
WV,2012,8.2,7.2,70303.1,0.0,9.4,11.8,12.4,14.2,49.1,50.9,84.5,18.6,,98.1,1.8,0.1
WV,2013,6.7,6.7,71758.6,0.0,9.6,11.5,12.6,13.7,,,84.6,18.9,,,,
WV,2014,6.8,6.5,73042.6,0.0,9.2,11.9,12.3,13.6,,,85.2,19.2,,,,
WV,2015,7.2,6.5,71713.4,0.0,8.9,11.8,12.5,13.4,,,86.0,19.6,,,,
WV,2016,7.6,6.1,71248.9,0.0,8.9,11.8,12.2,13.3,,,86.0,20.8,,,,
WV,2017,7.4,5.2,75172.4,0.0,9.0,11.5,12.2,13.1,,,87.1,20.2,,,,
WV,2018,6.7,5.1,79794.3,0.0,,,,,,,,,,,,
WV,2019,5.9,4.9,80242.4,0.0,,,,,,,,,,,,
WI,2010,8.3,8.4,256159.5,-2.0,9.7,12.6,12.7,15.3,49.7,50.3,90.1,26.3,49001.0,97.9,2.0,0.2
WI,2011,7.9,7.5,265444.0,-2.0,9.7,12.8,12.4,15.1,49.6,50.4,90.4,26.5,,98.0,1.9,0.1
WI,2012,7.4,6.9,276253.4,-2.0,9.7,12.8,12.2,14.9,49.6,50.4,90.7,27.1,,98.0,1.9,0.1
WI,2013,6.9,6.7,283791.4,-2.0,9.7,12.8,12.1,14.5,,,90.9,27.7,,,,
WI,2014,6.8,5.3,296169.9,-2.0,9.7,12.7,12.0,14.2,,,91.4,28.4,,,,
WI,2015,6.8,4.4,308304.5,-2.0,9.7,12.6,12.1,13.8,,,91.4,28.4,,,,
WI,2016,6.8,3.9,315420.0,-2.0,9.7,12.6,11.9,13.5,,,91.9,29.5,,,,
WI,2017,7.0,3.3,321886.8,-2.0,9.6,12.5,12.1,13.1,,,92.4,30.4,,,,
WI,2018,7.4,3.0,335144.3,-2.0,,,,,,,,,,,,
WI,2019,7.7,3.2,346906.6,-2.0,,,,,,,,,,,,
WY,2010,9.4,6.9,37567.5,-3.0,10.1,13.6,11.7,15.0,50.9,49.1,92.3,24.1,53512.0,97.3,2.7,0.0
WY,2011,9.9,6.1,39615.1,-3.0,10.1,14.0,11.7,14.2,50.9,49.1,92.0,24.7,,97.2,2.6,0.1
WY,2012,8.6,5.4,38679.3,-3.0,10.2,13.9,12.0,13.5,50.8,49.2,91.7,24.7,,96.9,2.9,0.2
WY,2013,7.4,4.7,39365.6,-3.0,10.1,14.0,12.0,12.8,,,93.5,26.6,,,,
WY,2014,7.7,4.4,40573.9,-3.0,9.8,14.3,12.2,12.4,,,92.6,26.6,,,,
WY,2015,7.3,4.2,38624.8,-3.0,9.9,14.1,12.3,11.9,,,92.2,26.2,,,,
WY,2016,7.0,5.3,36105.9,-3.0,9.2,13.8,12.3,11.8,,,93.2,27.1,,,,
WY,2017,6.7,4.3,37620.3,-3.0,9.2,13.8,12.2,11.2,,,92.9,27.6,,,,
WY,2018,6.6,4.1,39614.5,-3.0,,,,,,,,,,,,
WY,2019,6.5,3.7,40029.5,-3.0,,,,,,,,,,,,
