plant_name,technology_type,nameplate_capacity_mw,county,precinct_name,us_congressional_district,state_senate_district,state_house_district
Buffalo Center Wind LLC,Onshore Wind Turbine,1.5,Mitchell,Mitchell 1,1,26,51
"Anchor Wind, LLC",Onshore Wind Turbine,6.0,Cedar,Fremont/Red Oak,2,37,73
Windwalkers LLC,Onshore Wind Turbine,1.6,Worth,Worth 2-2,1,26,51
Roeder Family Wind Farm LLC,Onshore Wind Turbine,1.6,Worth,Worth 2-3,1,26,51
Luther College Wind Project,Onshore Wind Turbine,1.6,Winneshiek,Winneshiek 6,1,28,55
NLMU Wind,Onshore Wind Turbine,1.5,Henry,Henry 9,2,42,84
Junction Hilltop Wind Farm,Onshore Wind Turbine,8.0,Greene,Greene Co East,4,24,47
Cumberland Rose,Onshore Wind Turbine,1.6,Adair,Adair 4SE,3,10,20
Fontanelle,Onshore Wind Turbine,1.6,Adair,Adair 1NW,3,10,20
Greenfield Wind,Onshore Wind Turbine,1.6,Adair,Adair 3SW,3,10,20
Meadow Ridge,Onshore Wind Turbine,1.6,Adair,Adair 2NE,3,10,20
Sky Volt,Onshore Wind Turbine,1.6,Adair,Adair 3SW,3,10,20
Wiota,Onshore Wind Turbine,1.6,Cass,Cass 7 - Benton and Franklin/Wiota,3,10,20
Highland Wind Project (IA),Onshore Wind Turbine,16.4,O'Brien,O'Brien 7 - Summit-Center-Dale-Highland,4,2,3
Highland Wind Project (IA),Onshore Wind Turbine,100.8,O'Brien,O'Brien 7 - Summit-Center-Dale-Highland,4,2,3
Highland Wind Project (IA),Onshore Wind Turbine,89.1,O'Brien,O'Brien 7 - Summit-Center-Dale-Highland,4,2,3
Highland Wind Project (IA),Onshore Wind Turbine,89.2,O'Brien,O'Brien 7 - Summit-Center-Dale-Highland,4,2,3
Highland Wind Project (IA),Onshore Wind Turbine,115.0,O'Brien,O'Brien 7 - Summit-Center-Dale-Highland,4,2,3
Highland Wind Project (IA),Onshore Wind Turbine,86.8,O'Brien,O'Brien 7 - Summit-Center-Dale-Highland,4,2,3
Highland Wind Project (IA),Onshore Wind Turbine,4.7,O'Brien,O'Brien 7 - Summit-Center-Dale-Highland,4,2,3
Lundgren  Wind Project,Onshore Wind Turbine,251.0,Webster,Clay/Roland,4,5,10
Macksburg  Wind Project,Onshore Wind Turbine,119.6,Madison,Grand River-Monroe-Webster,3,13,25
Wellsburg Wind Project,Onshore Wind Turbine,140.8,Grundy,Grundy Precinct 3,4,25,50
Story City Wind Project,Onshore Wind Turbine,1.5,Story,Lafayette,4,24,48
Traer Wind Project,Onshore Wind Turbine,1.5,Tama,Tama 1 - Buckingham/Perry/East Crystal,1,36,72
Carroll Area Wind Farm,Onshore Wind Turbine,20.7,Carroll,Carroll Precinct 12,4,6,12
Leonardo Wind 1 LLC,Onshore Wind Turbine,3.0,Hardin,Hardin County Alden/ Buckeye Precinct,4,25,50
Michelangelo Wind 4 LLC,Onshore Wind Turbine,3.0,Boone,Boone-Rural Precinct 1,4,24,48
Adams Wind,Onshore Wind Turbine,4.7,Adams,Adams County District 5 Precinct,3,11,21
Adams Wind,Onshore Wind Turbine,43.3,Adams,Adams County District 5 Precinct,3,11,21
Adams Wind,Onshore Wind Turbine,58.0,Adams,Adams County District 5 Precinct,3,11,21
Adams Wind,Onshore Wind Turbine,48.3,Adams,Adams County District 5 Precinct,3,11,21
Kirkwood Wind Turbine,Onshore Wind Turbine,2.5,Linn,Cedar Rapids 44,1,35,69
O'Brien Wind,Onshore Wind Turbine,61.9,O'Brien,O'Brien 3 - Hartley-Lincoln-Omega,4,2,3
O'Brien Wind,Onshore Wind Turbine,108.7,O'Brien,O'Brien 3 - Hartley-Lincoln-Omega,4,2,3
O'Brien Wind,Onshore Wind Turbine,79.7,O'Brien,O'Brien 3 - Hartley-Lincoln-Omega,4,2,3
Ida Grove Wind,Onshore Wind Turbine,61.1,Ida,Ida 4,4,9,17
Ida Grove Wind,Onshore Wind Turbine,119.6,Ida,Ida 4,4,9,17
Ida Grove Wind,Onshore Wind Turbine,92.8,Ida,Ida 4,4,9,17
Ida Grove Wind,Onshore Wind Turbine,27.6,Ida,Ida 4,4,9,17
Wind GEM,Onshore Wind Turbine,1.9,Adair,Adair 2NE,3,10,20
Eastern Iowa Solar,Solar Photovoltaic,1.8,Muscatine,Muscatine County Wilton City Precinct,2,37,73
Green Energy Machine,Onshore Wind Turbine,1.7,Cass,Cass 10,3,10,20
